title,url,platform,keyword,company,source_type,collected_at
[파고다인강] 추석연휴기간 문화상품권 + 무료인강,https://www.clien.net/service/board/coupon/11258712?combine=true&q=%ED%8C%8C%EA%B3%A0%EB%8B%A4+%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,clien,파고다 토익,pagoda,community,2026-01-18T17:07:40.296703
이정도면 그냥 토익학원 어딜 가도 하기 나름일까요?,https://www.clien.net/service/board/kin/11011079?combine=true&q=%ED%8C%8C%EA%B3%A0%EB%8B%A4+%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,clien,파고다 토익,pagoda,community,2026-01-18T17:07:40.296703
강남 토익학원 고민중입니다..,https://www.clien.net/service/board/kin/11005444?combine=true&q=%ED%8C%8C%EA%B3%A0%EB%8B%A4+%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,clien,파고다 토익,pagoda,community,2026-01-18T17:07:40.296703
파고다 전과목 중복할인 쿠폰(~7/7),https://www.clien.net/service/board/coupon/10915888?combine=true&q=%ED%8C%8C%EA%B3%A0%EB%8B%A4+%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,clien,파고다 토익,pagoda,community,2026-01-18T17:07:40.296703
파고다 토익 점수보장반 17만원 혜택,https://www.clien.net/service/board/coupon/10898076?combine=true&q=%ED%8C%8C%EA%B3%A0%EB%8B%A4+%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,clien,파고다 토익,pagoda,community,2026-01-18T17:07:40.296703
[파고다 점수보장반] (거의) 반 값 할인 + 100% 환급,https://www.clien.net/service/board/coupon/10856596?combine=true&q=%ED%8C%8C%EA%B3%A0%EB%8B%A4+%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,clien,파고다 토익,pagoda,community,2026-01-18T17:07:40.296703
토익 학원 추천해주세요 ㅠㅠ,https://www.clien.net/service/board/kin/10819890?combine=true&q=%ED%8C%8C%EA%B3%A0%EB%8B%A4+%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,clien,파고다 토익,pagoda,community,2026-01-18T17:07:40.296703
토익스피킹vs 오픽 어느게 나을까요?,https://www.clien.net/service/board/kin/10188656?combine=true&q=%ED%8C%8C%EA%B3%A0%EB%8B%A4+%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,clien,파고다 토익,pagoda,community,2026-01-18T17:07:40.296703
토익성적발표 이상해요,https://www.clien.net/service/board/kin/10040143?combine=true&q=%ED%8C%8C%EA%B3%A0%EB%8B%A4+%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,clien,파고다 토익,pagoda,community,2026-01-18T17:07:40.296703
강남 토익학원 한 달 수강료가 얼마정도인가요,https://www.clien.net/service/board/kin/9804480?combine=true&q=%ED%8C%8C%EA%B3%A0%EB%8B%A4+%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,clien,파고다 토익,pagoda,community,2026-01-18T17:07:40.296703
