title,text,rating,author,date,url,company,source_type,source_platform,search_keyword,collected_at
,앱에 돈 좀 쓰세요...참 강의료가 얼만데 이걸 아끼냐..,1,do ha kim,2025-11-12 13:09:41,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,패드로 강의 들으려는데 왜 로그인만 하면 어플 먹통되고 실행이 안되나요... 자꾸 프로그램이 응답하지 않는대요ㅋㅋ 강의조차 못듣고있네요,1,귀염뽀쨕,2025-11-09 14:40:04,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,미얀마어 공부에 도움됩니다,5,정진호,2025-11-06 23:50:07,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,앱이 최악입니다 영상 보다가 튕겨서 앱 꺼지고 멀쩡히 공부하다가 끊기니까 정말 별로네요;; 가로모드 지원 안하는것도 그렇고 너무합니다!!!,1,zayden s,2025-11-06 22:30:18,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,최악이네요 촤신폰에 제이터 무제한인데 뚝뚝 끊기고 로딩중은 지멋대로 계속뜨고 장난합니까? 강의 듣는데 짜증만 더럽게 나네요,1,배창섭,2025-11-06 12:53:52,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,아니 어플 깔아서 강의 좀 들으려고 하는데 계속 버퍼링 걸리고 로딩이 제대로 되지도 않고 이게 뭐예요... 돈내고 강의 듣는건데 시간은 시간대로 버리고.. 와이파이 안되나 해서 핫스팟으로 연결해도 안되고 그냥 강의가 원래 그런건지도 모르겠는데 시원스쿨 로고만 끄고 영상 재생 누르면 계속 로딩.. 도대체 로그아웃을 몇번 했는지도 모르겠고 영상 다운받은거 듣는 오프라인 모드도 안되고 가로모드도 안되고 제발 이런 문제점들 좀 개선 해주세요. 영상 좀 보고싶어요 ;;;,1,김지은,2025-11-05 19:04:48,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,아니 좀 어떻게 오프라인상에 다운로드 하는법이 안나왔어요 쓰느라 답답하네 진짜.,1,n non,2025-10-28 22:42:08,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,믿고 보고 듣고 말하는 영어선생님~^^,5,안창숙,2025-10-24 07:28:23,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,여기서 강의듣는거 비추 랙이 너무너무 심함 5분단위 이상의 스킵 자체가 불가능해서 필요한 부분만 다시 보려고 할때마다 앱을 껐다켰다하는 역대급 시간낭비 뻘짓을 해야함,1,suzan lee,2025-10-21 02:18:21,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,강의는 좋은데 어플이 안켜질때가 상당히 자주있음,1,반터,2025-10-19 18:34:12,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,베트남어 배우려고 시작했는데 너무 쉽게 잘 알려주시네요..열심히 배우겠습니다,5,이동혁,2025-10-17 09:39:32,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,"최악. 가로모드 안 되는 거 참고 썼는데, 이제 어플 완전 먹통 되어서 삭제 후 재설치해도 강의 재생 안 되고 웹페이지는 태블릿 지원을 안 함. 시원스쿨은 구멍가게인가?",1,ᄆᄌ,2025-10-14 22:16:32,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,어플이 안열리는데요 갤럭시씁니다. 전엔안이랬습니다. 다시깔아도 잠깐되다 몇번다시들어가면 안되요.,1,Jerry (milktealuv),2025-10-14 17:42:43,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,삼성 폰으로 앱을 열려고 할 때 먹통된 상태에서 5분에서 8분 검은 화면만 나와서 결국엔 앱을 삭제해서 다시 설치해야 함. 수십 번 해 봤지만 나아지지 않음. 담당자와 통화해도 좋아지는게 없음. 그럴 리가 없다는 식으로 대응. 앱 관리 직원이 몇 명이냐는 질운에 어물쩍 거리는 거 보니 관리 직원 따로 없나 봄. 나 같은 리뷰가 많은 거 보니 혼자만의 문제가 아닌 듯 한데 그 부분도 모르쇠로 일관. 사업에 기본 태도가 안 됨.,1,문선영,2025-10-09 16:17:25,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,앱이 안얄랴요 ㅠㅠ 매일 앱 삭제 후 다시 로그인하여 이용하고 있어요 제발 고쳐주세요,1,정보희,2025-10-07 21:11:28,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,시원스쿨프랑스로 열심히 공부하고 있습니다,5,오승환,2025-10-07 13:19:43,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,강의 수강이 아닌 스터디 타이머 사용 시 화면을 계속 켜고 있어야만 반영되는 점 매우 불편. 화면 끄면 기록도 사라짐.,3,김도연,2025-10-03 16:39:17,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,앱 개판임. 리소스 엄청 먹어대고 앱만 켜면 기기가 먹통이 되어버림. 1개월짜리 결재해서 천만 다행이지 비싼거 1년짜리 결재했다가 피볼뻔... 강의가 좋아도 앱이 개차반이라 들을 수가 없음.,1,Homebound퇴근길,2025-10-01 09:23:32,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,실행이 잘 안되어 몇 번 다시 열어야 할때가 있음,3,SY Kim,2025-09-29 18:34:25,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,강의 재생이 원활하지않습니다 앞부분 다시 들으려고 멈췄다가 다시 재생하면 재생이 되지않아서 앱을 다시 실행해야합니다 공부흐름이 확 깨져요 동영상 강의 어플중에 최악이네요,1,소소,2025-09-24 11:39:06,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,책과 같은 예시들이었으면 좋겠습니다 교재와 다른예시들이라 정신이 없어요,4,지호근,2025-09-21 23:14:01,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,좋습니다,5,야디어몰리나,2025-09-21 14:41:00,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,직장인이 공부하기 좋은 최고의 앱 제공해 주네요~~ 하오 하오~~,5,김용환,2025-09-18 12:49:43,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,렉 자주 걸리고 영상 스킵도 한 번을 안 빼먹고 버벅이고 전체적으로 프로그래밍 좀 다시 했으면. 강의영상 보면서 흐름 이렇게 후지게 끊기는 건 처음.,1,문상호,2025-09-14 23:03:49,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,갤탭 쓰고 있는데 강의 10분 정도 들으면 갑자기 렉 걸리면서 먹통이 돼요ㅠ,1,박민재,2025-09-13 21:39:28,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,강의자체는 공부하는데 유용하지만 오류 너무많이떠서 진짜 어플한번쓸때마다 몇번을 껐다켰다 난리를쳐야하는지 모릅니다,1,jisoo noh,2025-09-07 12:11:34,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,괜찮은데 강의 다운로드가 혼자 뚝 끊길 때가 있어서 불편해요,4,김현준,2025-09-06 19:20:33,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,"그냥 앱만 만들어놓고 관리를 하지 않는 느낌 안드로이드 태블릿으로 이용하고 있는데 가로모드도 지원하지 않고, 고객센터에서 알려준 대로 강제 가로모드로 하면 영상 재생에 문제가 있음... 강의 유료로 결제하는 사용자들에게 이건 좀 아니다 싶습니다",1,이종민,2025-09-06 12:45:38,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,태블릿으로 듣고 싶은데 가로 버전은 안되는건가요??ㅠㅠ,2,김선진,2025-09-05 16:42:57,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,다 좋은데 가로모드 지원됐으면 좋겠어요 ㅠ,4,hyunbin jung,2025-09-01 21:20:25,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,다시들을려고 되돌리기 몇번하면 먹통되고 어플 닫았다가 다시 열어서 봅니다. 너무 불편합니다,1,sprit .J,2025-09-01 14:55:13,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,어플이 문제인지 서버가 문제인지 강의듣는데 자꾸 끊겨요,1,서지윤,2025-08-31 23:45:21,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,자막을 설정해도 안 뜨네요 ㅠㅠ,3,최지우,2025-08-31 09:37:00,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,랙잘걸림,1,강경민,2025-08-30 14:31:32,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,"영상 재생 시, 실행 오류가 너무 심해요..",2,임종헌,2025-08-27 11:59:56,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,렉걸림 너무 심함,1,소윤,2025-08-25 20:20:55,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,너무쉽게 가르치시고 학습하기 좋습디다,5,김가령,2025-08-25 06:18:32,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,강의는 상시 프로모션가로 비싸게 팔아먹으면서 태블릿으로 강의 들을라면 버그때문에 강의 수강이 순조롭지 않음 오래 방치 중인 문제인데 도대체 언제쯤 업데이트 되는지,1,돔현,2025-08-19 00:24:33,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,"1. 잘 될땐 잘 되는데, 안될땐 아무리 들어가도 버퍼링 엄청 걸리다가 검정화면 나옴 2. 강의 어플인데 기본적인 태블릿을 위한 가로모드 하나 안되어있음 3. 어플에 부하가 커서 그런지 강의 어플임에도 강의 화질을 많이 낮춰놓음 4. 최적화가 전혀 안되어있는게 눈에 보임.. 해커스one 어플 보면서 비교한번 해보세요.. 강의는 참 좋은데 어플이 너무 기본도 안되어있는게 눈에 띄고 몇번이나 재접속했는데도 30분째 강의 5분을 못들어서 리뷰 남기네요",1,김강민,2025-08-14 21:22:25,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,잘안열려요. 열리면 사용가능한데 안열려요,3,E.S K,2025-08-14 17:48:33,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,사용성이 좋음,5,Dong Kyu Kim,2025-08-13 12:49:37,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,good,5,yeoul lim,2025-08-12 22:17:33,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,잘가르쳐주네요,5,yeoul lim,2025-08-11 15:49:27,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,"태블릿 모드 지원이 안되는 게 너무 불편합니다. 강의는 태블릿으로 수강하는 경우가 많은데 시원스쿨은 태블릿에서 홈페이지를 들어가면 영상이 안나오고, 어플로 들어오면 태블릿 가로모드가 지원이 안되는 게 많이 불편합니다. 태블릿 수강자도 편리하게 지원해주셨으면 합니다.",1,권보은,2025-08-10 11:52:10,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,어플 가로모드 지원안되는거 맞나요? 너무 불편합니다.,1,불주먹햄스터,2025-08-08 12:38:47,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,개 불편함. 가로로 돌아가는 기능이 없네요.,1,柳相赫,2025-08-07 17:09:38,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,빈번히 로그인 안 됨. 화질 선택 불가. 배속 조절 옵션 적음. 가로회전 안 됨. 인강어플 중 가장 불편함.,1,이경수,2025-08-06 11:31:02,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,굿,5,최현정,2025-08-03 22:44:32,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,폴드7에서 제대로 작동이 안되고 멀티뷰로 쓰려고하면 먹통이 되네요,1,아버님,2025-07-27 22:14:36,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,최악의 플레이어ㅡㅡ 시원스쿨컨텐츠는좋아서 매일욕하면서 어쩔수없이들음 성격나빠지는 플레이어,1,Vera LEE,2025-07-21 17:49:31,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,UI가 너무 너무 불편합니다. 최악이네여. 터치가 안먹을 때도 있고 렉과 버벅임도 다소 있으며 팝업창 올라오는 것도 불편하네요. 안정성도 그렇게 좋지 못한 것 같아요. 그리고 영상은 항상 720p로만 봐야하나요? 불편하네요,1,Dione H.,2025-07-21 16:19:51,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,최악 강의 퀄리티를 떠나서 이렇게 의견이 많음에도 태블릿모드 가로모드 지원이 안되다니.. 몇년만에 들어왔는데도 아직도 이러면... 규모도 꽤 큰데 대체 왜... 사용자 편의 생각 좀 제발 좀!!!!!!!!!!!!!!!!!!!!!,1,Subi Jang,2025-07-18 21:45:17,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,터치안됨,1,곰상,2025-07-17 12:37:24,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,엎ㄹ이 잘 안열링때가 있습니다만 강의는 참 잘하세요 분량도 소화하기 쉬워요,4,김효순,2025-07-14 23:23:51,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,한 번에 제대로 열린 적이 없는 것 같음. 시간두고 들어가면 또 새로 들어가는 것 마냥 오류가 남. 제발 개선 좀..,1,최은희,2025-07-13 08:58:01,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,홈이랑 강의목록에 가로모드를 만들고 중간중간에 영상 끊어지는 오류를 해결했으면 좋겠네요,1,황해성,2025-07-12 19:55:50,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,"일본어 공부한다고 설치했는데, 강의 듣기 편합니다.",5,이민섭,2025-07-11 11:05:30,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,재미있어요.,5,김지윤,2025-07-09 17:03:56,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,"조금 불편해요 초넘기기 할때 딜레이가 조금 있는거랑 태블릿(갤럭시탭 기준) 으로 전체화면 하지 않으면 세로모드 고정인게 제일 불편하고 듀얼로 화면 띄우면 강의가 전체화면이 풀려서 수강후기 , 목차 이런 ui가 보이는 채로 봐야 하는게 너무 불편해요 ㅠ 그리고 어플에서 강의만 누르면 강의 홈에서 그 강의 자료만 다운 할 수있게 해주면 좋겠어요 1강 재생하기 / 1강 강의자료 다운 이런식으로ㅠㅠ 이것들만 개선 된다면 goat 라고 생각합니다",1,SEUNG JU CHOI,2025-07-09 16:26:04,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,앱 실행할 때 멈춤 현상이 발생하곤 합니다.. pc에서 실행할때 크롬원격접속이 있다고 강제 종료되네요.. 그게 있다는 것만으로 강제종료하는 건 좀 과한 것 같습니다. 원격접속이 실행될 때 감지해서 종료하는 건 어떨런지요.,3,신영철 (suee),2025-07-08 07:45:42,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,자주 다운되요,2,이순희,2025-07-05 20:53:36,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
