title,text,rating,author,date,url,company,source_type,source_platform,search_keyword,collected_at
,편하게 할수 있어요,5,Junnycarson Carson,2026-01-15 21:00:06,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,재밋어요 토보가 차근차근접근하기 쉬운것 같아요! 잘 배워보겠습니다 ㅎㅎ,5,최수진,2026-01-15 20:26:49,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,재밌어요,5,청년일기,2026-01-15 20:20:24,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,굳,5,정영도,2026-01-15 18:45:53,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,"제가 친구를 통해서 말해보카를 깔았거든요? 근데..진짜 노답인게 진짜 비겁하게 유도를 합니다..제가 학습중에 갑자기 무료로 체험해보세요 이러는게 화면에 뜨는거에요. 저는 무료체험이라도 하는거 별로 안좋아하거든요,그래서 X를 누르고 다시 하려고했더니 또 화면에 나왔습니다.. 골목길 막는 일진들 느낌이여서 기분이 드럽게 나쁩니다..게다가 제가 첫날인데 학습을 이렇게 못하게하면 깔 필요가 없어집니다.",1,서창훈,2026-01-15 14:15:36,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,ㅇㄴ 여러분 하지마세요.진짜 시간 다가요ㅋㅎㅋㅎㅋㅎ이게 게임처럼함면 되고 실전회화하다 보니까 듀오링고?필요없슴...이게 실력도 많이 늘고 그냥 계속 규칙적으로 하게되요...!지금 공부하기 싫을 나이 13살인데 너무 재밌어서 계속 하게되요ㅎ_ㅎ 진짜 강추!,5,참깨,2026-01-15 13:34:28,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,"발음 인식 좀 업데이트 했으면 좋겠네요. 엇비슷하게 잘못 알아들으면 내 발음이 쓰레기구나 할텐데, 아예 다른 단어로 듣거나 아예 알아듣지 못하는 일이 너무 많이 발생합니다. 이전 말풍선이 시라지지 않고 남아있어서 입력창이 안보여 텍스트 입력도 곤란한 경우가 많구요. 사용한지 5년이 넘었는데 언제쯤에나 완전히 개선되는걸꺼요? 한 10년 뒤? 20년 뒤?",4,김가실,2026-01-15 13:17:52,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,실패에 실패를 거듭한 영어. 오늘부터 또 시작. 매일 해보기로 일년 후를 기약하며. 어쨋든 단어 외우기는 좋아요!!!,5,박인숙,2026-01-15 11:26:46,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,좋아요,5,서수종,2026-01-15 11:16:47,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,"돈 절대 안아까운 유일한 앱!!! 근데 복습단어 100%, 새로운 단어 100% 비율로 학습 가능한 것처럼 재도전 단어 100%로도 할 수 있었으면 좋겠어요..",5,김소은,2026-01-15 10:32:39,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
