title,text,rating,author,date,company,source_type,source_platform,search_keyword,url,collected_at
좋아요,좋아요,5,fjrndjejehehrbndd,2026-01-14T15:08:52-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
영어 잘 못 하는데 나의 학습도를 파악하고 도와주는게 좋다,솔직히 말하면 듀오링도 보다 좋다,5,가은아 너도 공부좀 해라,2026-01-14T14:38:47-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
말해보카 리뷰,광고에서 계속 나오길래 재미 없을 줄 알고 안 했다가 돈 벌려고 똑똑보카 해 보니 너무 재밌어서 말해보카 까지 하게 되었는데 끝 날 때 마다 지칠 때 마다 호응을 해 줘서 성취감을 느꼈어요 리뷰 잘 안 쓰는데 너무 재밌어서 쓰게 되네요 말해보카 화이팅!!,5,와쿠와쿠!,2026-01-14T09:11:35-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
좋아요,아직 1일차라서 그런지 모르겠지만 재밌어요!!!!!,5,소라쨘,2026-01-14T07:36:25-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
공부도하고 좋아요,공부도할수있고ㅠ모르는게 있으며뮤게속 찝어 주는게 너무 좋은거같아요,5,무협쟁이,2026-01-14T06:04:43-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
너무좋은,너무조아여!!!! 공부에 도움이 많이됫어요ㅠ 근데 혹시 유료만 되는건가여??,5,뒷땅선생,2026-01-14T03:49:21-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
너~~~~~~~~무 좋아요,이게 틀리면 다시 복습 시켜주고 타자를 못치면 말로 할수 있어서 좋아요 말하지도 말고 묻지도 말고 일단 말해보카 깔아 보세요 마음에 않들면 지우면 돼죠,5,이별명은ㅛㅏ용중입니다,2026-01-14T03:12:26-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
Goot,ㅋㅋ 재밌네여,5,보영보영89,2026-01-14T00:50:07-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
까비,제가 이거 사용할 때 무료인 줄 알고 이젠 내 영어 실력 많이 늘겠지^^하고 있었는데 하지만 유료 였죠ㅠㅠ 그래서 제 친구한테도 물어보니깐 자기도 무료인줄 알았다네요ㅜ 그래서 이렇게 좋은 영어 앱을 못 써서 너무 아쉽네요,5,제발 좀 !,2026-01-14T00:09:38-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
좋아요,좋아요,5,ㅂ츄,2026-01-13T03:49:31-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
재밌어요,꿀잼임,5,ㅇㄹㅇㅅㄹㅎㅅㅇㅇㄱ,2026-01-13T02:32:29-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
.,학습은 좋은데 돈 내라고해요,5,까미얌놀자,2026-01-13T02:27:16-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
결재취소 요청드립니다,결재취소 요청,5,mariosy,2026-01-12T15:34:30-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
조타,조타조아,5,아아우옫,2026-01-12T06:36:34-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
노홍철님 유튜브에서 홍보해서 시작합니다,영어 공부가 필요하단 생각에 시작합니다.,5,뿅뿅이핫,2026-01-12T05:57:42-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
영어단어,첫 수업 왕초보인 나한테 잘 맞습니다. 열심히 배워 보고 싶어요,5,뉴yellow,2026-01-12T05:09:05-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
딱 저에게 맞는 학습법!,대화할때 작절한 단어가 안떠올라서 고민인데 이게 딱인거 같아요.,5,hairless_,2026-01-12T04:46:54-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
Good,Good,4,cowboybebop01,2026-01-12T04:40:51-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
좋아요!!!,한달정도는 해봐야겠지만 정말 잘만든것 같아요:),5,별멸A,2026-01-12T02:17:51-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
기초 탈출,기초를 탈출 할수 있는 앱,5,아라 아빠,2026-01-12T01:01:32-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
게임보다 재밋어요,"공부하는건데 게임보다 더 중독성 있고 재밌어요~
근데 한 가지 궁금한 점이 있습니다.
팝 버디즈로 대표 컬렉션을 하나 완성 시키면, 다음에 성장시킬 컬렉션을 선택할 수 있다고 하는데 왜 저는 다음 컬렉션 선택이 안되죠?? 루비 모아야 컬렉션 구매할 수 있다고 뜨네요!",5,1등할래요,2026-01-12T00:21:42-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
최고입니다.,최고입니다!,5,개구리7173,2026-01-11T22:00:34-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
문의사항,제가 1년 구독을 신청하고 돈이 부족하여 취소하고 싶은데 어떻게 하면 될까요? 아무것도 한 것은 없습니다,4,추러더유야듳,2026-01-11T20:58:39-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
말해보카 리뷰,차근차근 잘 알려주고 부족한 점도 잘 알려줘서 좋아요😍,4,말해보카트,2026-01-11T20:34:00-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
말해보카 짱!!,말해보카 완전 친절하고 돈도 많이 안들어서 영어배우고 싶은 분들께는 강추 드립니다!!!!!!,5,삼성이재용회장,2026-01-11T07:34:41-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
아이들이 좋아해요,즐겁게 문제를 맞추다 보니 영어가 외워져요,5,조선토깽이,2026-01-11T06:08:11-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
다 좋은데 이것만 고쳐주세요..,계속 그냥 무료로 하고싶은데 자꾸 뭘 사라고 요구해요. 그래서 하지도 못하고요.. 그냥 요구하는걸 없애버리면 진짜 좋을것 같습니다!,1,짱구는 안 말려,2026-01-11T05:39:28-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
잼있어요,잼있어요,4,우ㅂ12,2026-01-11T05:17:51-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
너무 좋아요,"친구가 추천해줘서 말해보카를 시작했는데 벌써 2년째네요
말해보카에서 푼 문제가 영어학원 문제에 나와서 선생님께 많이 칭찬을 받고 있어요!!
지금 현재 저는 저희 영어반의 에이스 이랍니다 ^^
너무 조아여❤️",5,이고냥0405,2026-01-11T04:15:18-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
엄청 재미있고 무료라서 누구나 할수있어서 좋다👍👍👍👍,엄청 재미있고 무료라서 누구나 할수있어서 좋다👍👍👍👍,4,Ngadadieu,2026-01-11T04:05:02-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
ㄹㅇ 좋음,다른 앱들보다 더 재미 있는 느낌,5,작은 거,2026-01-11T03:14:08-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
제발 끝까지,정말 잘 쓰고있는데요 유료버전도 쏠쏠해서 좋아합니다 근데 듣기 연습할때 듣고 말할때마다 자꾸 다 말하지도 않았는데 끝내요 계속 말하고 있는데 안듣고 끝내버려서 화나서 못하겠어요 버벅거려서 아무말 안하는것도 아니고 말하고있는데 끊고해서 좀 짜증나네요.. 그거말고는 실전회화랑 다 잘쓰고있어요 유용해요,5,Cookieeun,2026-01-11T00:09:27-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
돈안내면공부못함,너무 별로임. 맨날 돈내래요. 1일차 끝나고 나서부턴 돈 안내면 공부 못함!!!!!,1,seoych,2026-01-10T23:41:24-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
딱히 좋은지는 모르겠음,아니 답도 다 알려주고 그리고 앱을 깔고 진짜 10분도 안 사용했는데 계속 돈 결제하라고 뜨고 여기에 결제 할 돈으로 걍 학원에 결제할듯,1,하 이거 쓰지 마셈 최악,2026-01-10T23:35:39-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
한달씩 결제되는줄 알았는데 10만원이,10만원이 한번에 나갔네요. 환불 부탁드립니다.,1,송이몽그리,2026-01-10T22:55:34-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
기대이상,"노희영 인스타보고 정말 괜찮을까? 하는 생각반으로 어플깔고 시작해봤는데, 정말 괜찮네요. 40대 중반으로 영어공부 이것저것 많이 해보긴했는데, 첫느낌 좋네요.. 가볍고 재밌게 할수 있을거 같네요.",4,데하모,2026-01-10T22:29:54-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
문제 개선해주시길,아니 간만에 영어 공부 하려고 깔아봤는데 영어 공부 하는 방식이랑 다 좋은데 무슨 깔고 한지 5분도 안돼서 돈내고 해라 해서 엑스 누르고 다시 하려고 했는데 계속 뜨네요 돈 내야되는건 알겠지만 그래도 잘 되고 싶으면 며칠이라도 무료로 해주고 돈내라 그러면 아무말도 못하고 결제 하겠는데 한지 5분도 안돼서 이러니 정 떨어져서 바로 지웠습니다 다른 영어 공부 앱으로 옮길게요,1,전교4등,2026-01-10T08:37:51-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
음성인식 기능 좀 개선해주세요ㅜㅜㅜㅜ,요새 너무 잘 쓰고 있긴 한데 회화할 때 인식 안돼서 진짜 너무 짜증나요ㅜ 발음인식도 잘 안 되고 인식한 단어를 갑자기 지혼자 빼버리질 않나 진짜 화딱지 나서 죽을 것 같아요,4,라이트원해,2026-01-10T04:39:30-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
일단 공부같지 않고 재밌어요,게임처럼 맞출 수 있어서 재밌어요. 특히 사운드가 게임처럼 나와서 신나는거 같아요,5,허낚,2026-01-10T04:02:46-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
말해보카 짱 좋음!!,영어 학습도 돼고 못풀던 영어를 반복하니 이제는 이해를 해서 알아서 손이 척척 돼네요!!,2,🫧집순이 🎀,2026-01-10T03:40:08-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
영어공부 시작,어떤것으로 공부할 지 고민하다가 시작했는데 테스트부터 재미있게 도와주면서 해서 쉽게 다가갈 수 있는것 같아요. 열심히 공부해서 달라진 제 모습이 기대 되네요 ㅎㅎ,5,송영광,2026-01-10T02:44:42-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
학습중에 앱이 자꾸 꺼져요,"핸드폰, 태블릿 두기기다 학습중에 어플이 꺼져버립니다!",4,크나더어,2026-01-10T01:51:45-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
아니 무료체험 안하고싶다니까,기본 좀 쓰다 더 할지말지 정하고싶은데 어떻게든 유료유도하려고 이틀만에 유도하고 무료체험 안하면 학습도 못하게 해놨음 진짜 살면서 어플에 악플남기긴 처음임 최악임,1,언제나 배고파,2026-01-09T23:55:59-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
